p_rel,v_rel,T_0,target,exp_a,exp_b,exp_c,exp_d,exp_e,exp_f,exp_g,exp_h,exp_i,exp_j,exp_k,exp_l,exp_m,exp_n
0.8575,1.250,47.1,0.08200,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8573,1.250,56.2,0.07951,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8576,1.250,62.8,0.07859,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8576,1.250,66.3,0.07772,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8571,1.250,63.3,0.07782,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8570,1.250,69.2,0.07717,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1448,0.709,36.4,0.08209,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1448,0.709,44.1,0.08028,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1450,0.709,46.7,0.07973,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1449,0.709,47.4,0.07912,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1448,0.709,50.0,0.07873,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1448,0.709,49.6,0.07819,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1451,1.780,78.7,0.07429,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1440,1.780,97.2,0.07146,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1430,1.780,103.3,0.07063,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1430,1.780,106.8,0.07022,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1451,1.780,109.9,0.06984,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1451,1.779,111.5,0.06945,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4297,0.709,44.7,0.07945,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4293,0.709,51.6,0.07717,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4296,0.709,54.0,0.07641,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4301,0.709,57.7,0.07574,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4299,0.709,58.9,0.07622,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4295,0.709,58.6,0.07531,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4286,1.780,92.8,0.07128,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4292,1.780,110.6,0.06833,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4288,1.780,119.4,0.06745,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4288,1.780,123.0,0.06680,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4300,1.780,127.6,0.06613,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4301,1.780,128.2,0.06580,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7137,0.709,52.7,0.07804,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7137,0.709,61.0,0.07590,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7133,0.709,67.0,0.07425,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7136,0.709,68.7,0.07375,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7133,0.709,68.1,0.07338,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7135,0.709,71.6,0.07329,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7123,1.780,105.1,0.06854,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7119,1.780,122.9,0.06552,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7119,1.780,132.2,0.06410,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7118,1.780,137.7,0.06334,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7116,1.780,140.6,0.06263,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7113,1.780,143.6,0.06234,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2863,0.262,17.8,0.11224,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2863,0.262,20.7,0.11020,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2863,0.262,21.4,0.10935,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2864,0.261,22.2,0.10901,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2863,0.262,23.4,0.11064,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2863,0.262,23.4,0.10805,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,1.249,26.7,0.11369,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,1.250,31.3,0.11150,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,1.250,33.3,0.11090,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,1.249,34.2,0.11040,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,1.249,34.6,0.11141,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,1.249,35.0,0.10996,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,0.262,12.8,0.11160,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5725,0.262,13.9,0.11101,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,0.262,13.9,0.11065,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5725,0.262,13.5,0.11077,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,0.261,13.5,0.11077,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,0.262,13.2,0.11072,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5710,1.249,39.4,0.10302,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5713,1.249,46.3,0.10001,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,1.250,49.6,0.09884,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5710,1.250,51.5,0.09800,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5710,1.249,52.4,0.09760,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,1.249,53.1,0.09743,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8571,0.262,16.3,0.10848,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8576,0.262,17.9,0.10912,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8570,0.262,18.3,0.10679,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8570,0.262,18.1,0.10690,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8566,0.262,17.9,0.10679,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8564,0.262,17.9,0.10692,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8558,1.250,54.7,0.09548,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8559,1.250,64.6,0.09151,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8563,1.249,68.8,0.09006,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8557,1.250,71.8,0.08901,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8561,1.249,71.4,0.08874,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8560,1.249,72.5,0.08871,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1411,0.709,40.3,0.09775,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1417,0.709,46.9,0.09472,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1408,0.709,50.0,0.09451,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1412,0.709,52.2,0.09620,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1416,0.709,52.2,0.09244,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1415,0.709,53.5,0.09169,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1407,1.780,86.6,0.08460,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1403,1.780,103.6,0.08203,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1406,1.780,112.2,0.08099,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1399,1.780,117.0,0.08089,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1399,1.780,119.7,0.08068,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1412,1.780,121.8,0.08034,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4246,0.709,47.8,0.09433,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4245,0.709,57.0,0.09109,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4247,0.709,60.1,0.08968,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4247,0.709,61.7,0.08849,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4248,0.709,63.5,0.08860,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4248,0.709,64.4,0.08792,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4241,1.780,100.9,0.08437,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4240,1.780,123.0,0.07978,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4244,1.780,130.9,0.07852,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4242,1.780,136.8,0.07765,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4253,1.780,139.5,0.07761,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4250,1.780,143.9,0.07734,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7086,0.709,56.0,0.09309,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7086,0.709,66.6,0.08956,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7087,0.709,71.2,0.08787,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7088,0.709,72.3,0.08672,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7089,0.709,74.0,0.08658,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7085,0.709,76.5,0.08548,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7073,1.781,119.7,0.08180,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7088,1.780,138.4,0.07815,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7075,1.781,148.7,0.07664,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7075,1.780,154.7,0.07625,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7092,1.780,159.7,0.07609,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7086,1.780,163.5,0.07615,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2863,0.262,17.0,0.10652,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2864,0.262,19.2,0.10594,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2863,0.262,20.3,0.10538,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2865,0.262,21.1,0.10460,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2865,0.262,21.6,0.10437,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2865,0.262,22.2,0.10420,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2863,1.249,24.7,0.10703,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2862,1.249,29.3,0.10585,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2862,1.249,30.2,0.10568,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2862,1.249,31.3,0.10483,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2861,1.249,31.1,0.10470,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2861,1.249,32.2,0.10490,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5726,0.261,11.9,0.10674,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5725,0.262,12.6,0.10607,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5725,0.262,12.4,0.10658,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5725,0.262,12.8,0.10616,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5725,0.262,12.1,0.10590,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5724,0.262,11.7,0.10667,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5724,1.249,35.7,0.10094,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5724,1.249,42.7,0.09903,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5724,1.249,45.6,0.09856,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5724,1.249,47.1,0.09799,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5724,1.249,47.6,0.09779,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5724,1.249,48.7,0.09723,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8586,0.262,15.0,0.10647,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8585,0.261,16.5,0.10540,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8586,0.261,15.6,0.10580,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8585,0.261,16.5,0.10536,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8585,0.262,16.3,0.10532,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8586,0.261,15.9,0.10504,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8575,1.249,48.0,0.09560,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8575,1.249,57.1,0.09305,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8571,1.249,60.3,0.09216,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8569,1.249,63.2,0.09152,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8573,1.249,64.8,0.09126,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8573,1.249,65.7,0.09108,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1447,0.709,36.6,0.09841,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1448,0.709,44.5,0.09589,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1449,0.709,47.2,0.09482,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1445,0.709,48.2,0.09445,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1445,0.708,49.4,0.09411,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1442,0.709,50.5,0.09340,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1426,1.780,76.7,0.08769,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1449,1.780,94.3,0.08566,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1449,1.779,101.6,0.08469,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1449,1.779,105.5,0.08401,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1450,1.779,109.7,0.08408,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1450,1.780,109.5,0.08324,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4293,0.709,43.9,0.09555,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4294,0.709,51.6,0.09267,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4293,0.709,57.0,0.09123,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4296,0.709,59.3,0.09049,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4296,0.709,57.1,0.09040,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4296,0.709,60.8,0.09050,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4303,1.780,91.0,0.08466,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4304,1.780,106.9,0.08388,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4274,1.779,118.8,0.08169,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4304,1.780,124.5,0.08109,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4306,1.780,128.2,0.08102,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4305,1.779,130.9,0.07990,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7136,0.709,48.9,0.09304,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7133,0.709,62.1,0.08992,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7131,0.709,63.7,0.08863,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7131,0.709,66.8,0.08808,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7131,0.709,71.0,0.08701,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7127,0.709,72.1,0.08671,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7097,1.780,101.4,0.08186,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7109,1.780,120.5,0.07935,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7130,1.780,130.0,0.07797,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7130,1.780,137.2,0.07752,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7133,1.780,140.4,0.07731,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7135,1.780,144.3,0.07673,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2863,0.262,17.2,0.11787,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2863,0.262,19.6,0.11702,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2863,0.261,21.0,0.11599,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2863,0.261,21.6,0.11581,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2863,0.262,22.2,0.11776,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2864,0.261,22.7,0.11532,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2861,1.249,23.2,0.11975,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2861,1.249,27.8,0.11765,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2861,1.249,30.4,0.11721,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2861,1.249,30.4,0.11692,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2861,1.249,30.2,0.11690,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2861,1.249,31.0,0.11700,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5725,0.261,11.2,0.11930,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5725,0.262,12.6,0.11830,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5724,0.262,12.8,0.11829,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5724,0.261,13.0,0.11810,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5723,0.262,12.4,0.11815,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5724,0.262,11.9,0.11823,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5723,1.249,33.7,0.11220,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5705,1.249,41.6,0.11015,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5723,1.249,44.5,0.11068,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5706,1.249,46.1,0.10920,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5723,1.249,48.0,0.10928,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5723,1.249,48.5,0.10875,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8569,0.262,14.8,0.11934,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8568,0.262,16.7,0.11838,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8568,0.262,16.8,0.11862,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8564,0.262,17.4,0.11770,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8566,0.262,16.7,0.11796,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8566,0.262,16.7,0.11755,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8561,1.250,46.5,0.10670,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8559,1.250,56.8,0.10462,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8557,1.250,60.4,0.10294,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8556,1.250,63.9,0.10212,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8557,1.250,65.7,0.10172,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8553,1.250,66.3,0.10178,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1414,0.709,36.8,0.10954,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1415,0.709,42.8,0.10765,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1415,0.709,46.5,0.10715,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1412,0.709,48.3,0.10524,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1412,0.708,49.3,0.10505,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1411,0.709,50.7,0.10433,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1419,1.780,83.3,0.09810,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1402,1.780,98.2,0.09560,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1416,1.780,109.0,0.09458,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1414,1.780,111.7,0.09421,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1388,1.780,119.0,0.09351,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1415,1.780,117.9,0.09351,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4254,0.709,45.4,0.10650,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4246,0.709,53.8,0.10328,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4247,0.709,56.6,0.10291,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4247,0.709,61.0,0.10091,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4248,0.709,61.9,0.10064,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4249,0.709,63.9,0.10022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4256,1.781,93.6,0.09449,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4256,1.780,113.9,0.09147,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4253,1.781,123.4,0.09092,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4250,1.780,131.5,0.08938,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4249,1.780,132.8,0.08897,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4247,1.780,139.7,0.08864,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7073,0.709,51.6,0.10349,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7074,0.709,64.3,0.09967,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7077,0.709,65.5,0.09837,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7077,0.709,70.7,0.09801,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7075,0.709,76.9,0.09657,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7075,0.709,72.5,0.09751,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7086,1.781,103.3,0.09124,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7089,1.781,125.8,0.08756,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7090,1.781,138.3,0.08639,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7086,1.780,145.6,0.08596,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7085,1.780,151.8,0.08579,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7086,1.780,157.0,0.08542,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2864,0.261,13.4,0.10178,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2864,0.262,15.2,0.10063,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2864,0.262,16.5,0.10074,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2863,0.262,17.4,0.10016,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2863,0.262,18.0,0.09965,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2864,0.261,18.7,0.09980,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2860,1.249,13.9,0.09530,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2861,1.250,15.9,0.09206,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2861,1.250,16.7,0.08965,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2859,1.249,17.0,0.08846,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2858,1.249,17.0,0.08919,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2858,1.249,17.4,0.08877,0,0,0,0,1,0,0,0,0,0,0,0,0,0
